year	cohort	full_records	full_abstracts	abstract_coverage_percent	ytd_records	ytd_uncertain_excluded	after_ytd_cutoff	manual_indexing	automated_indexing	curated_indexing	unspecified_indexing
2010	text_only	44294	41015	92.5972	27408	4677	12209	41399	102	187	2606
2010	explicit_mesh	37683	32444	86.0972	23472	3988	10223	37412	98	173	0
2010	mesh_only	5259	2935	55.8091	3266	679	1314	5231	19	9	0
2010	expanded_union	49553	43950	88.6929	30674	5356	13523	46630	121	196	2606
2011	text_only	47614	44438	93.3297	30822	4334	12458	43159	604	383	3468
2011	explicit_mesh	39756	34848	87.6547	25703	3728	10325	38579	840	337	0
2011	mesh_only	5251	3041	57.9128	3380	569	1302	4926	305	20	0
2011	expanded_union	52865	47479	89.8118	34202	4903	13760	48085	909	403	3468
2012	text_only	48509	45565	93.9310	31014	4293	13202	42684	831	598	4396
2012	explicit_mesh	39421	34787	88.2448	25173	3489	10759	37636	1235	550	0
2012	mesh_only	5156	2970	57.6028	3240	596	1320	4600	507	49	0
2012	expanded_union	53665	48535	90.4407	34254	4889	14522	47284	1338	647	4396
2013	text_only	51748	48469	93.6635	33476	4262	14010	44421	1092	1339	4896
2013	explicit_mesh	41059	36006	87.6933	26634	3522	10903	38316	1611	1132	0
2013	mesh_only	5098	2823	55.3747	3250	574	1274	4346	664	88	0
2013	expanded_union	56846	51292	90.2297	36726	4836	15284	48767	1756	1427	4896
2014	text_only	53792	49716	92.4227	34058	4583	15151	43804	1144	2608	6236
2014	explicit_mesh	41466	35748	86.2104	26414	3613	11439	37568	1681	2217	0
2014	mesh_only	5103	2760	54.0858	3195	552	1356	4215	689	199	0
2014	expanded_union	58895	52476	89.1009	37253	5135	16507	48019	1833	2807	6236
2015	text_only	54784	50623	92.4047	35645	4563	14576	42459	1153	4031	7141
2015	explicit_mesh	41035	35553	86.6407	26881	3363	10791	35952	1683	3400	0
2015	mesh_only	4875	2621	53.7641	3121	527	1227	3921	643	311	0
2015	expanded_union	59659	53244	89.2472	38766	5090	15803	46380	1796	4342	7141
2016	text_only	55100	51030	92.6134	37066	3522	14512	40186	1076	5486	8352
2016	explicit_mesh	39895	35049	87.8531	27095	2567	10233	34017	1349	4529	0
2016	mesh_only	4347	2575	59.2363	2904	368	1075	3572	384	391	0
2016	expanded_union	59447	53605	90.1728	39970	3890	15587	43758	1460	5877	8352
2017	text_only	55240	51647	93.4957	37283	2898	15059	39625	1114	5332	9169
2017	explicit_mesh	38573	34394	89.1660	26353	1976	10244	32890	1453	4230	0
2017	mesh_only	4079	2420	59.3283	2737	269	1073	3367	434	278	0
2017	expanded_union	59319	54067	91.1462	40020	3167	16132	42992	1548	5610	9169
2018	text_only	55817	52661	94.3458	37447	3097	15273	39351	1122	5954	9390
2018	explicit_mesh	38452	34532	89.8055	25805	2217	10430	32171	1504	4777	0
2018	mesh_only	3925	2278	58.0382	2619	249	1057	3071	509	345	0
2018	expanded_union	59742	54939	91.9604	40066	3346	16330	42422	1631	6299	9390
2019	text_only	58008	54707	94.3094	39288	2952	15768	39447	1908	6921	9732
2019	explicit_mesh	39698	35756	90.0700	27170	2054	10474	32133	2162	5403	0
2019	mesh_only	3981	2403	60.3617	2711	240	1030	2976	626	379	0
2019	expanded_union	61989	57110	92.1292	41999	3192	16798	42423	2534	7300	9732
2020	text_only	149002	116071	77.8990	94185	5733	49084	75004	18638	17070	38290
2020	explicit_mesh	103346	74134	71.7338	66186	4735	32425	69846	17829	15671	0
2020	mesh_only	7024	2501	35.6065	4628	443	1953	4096	1924	1004	0
2020	expanded_union	156026	118572	75.9950	98813	6176	51037	79100	20562	18074	38290
2021	text_only	181890	158628	87.2110	126555	5749	49586	55272	58395	13177	55046
2021	explicit_mesh	117015	96852	82.7689	81276	4687	31052	50458	54754	11803	0
2021	mesh_only	6051	2666	44.0588	4341	271	1439	2763	2848	440	0
2021	expanded_union	187941	161294	85.8216	130896	6020	51025	58035	61243	13617	55046
2022	text_only	169646	154176	90.8810	118220	5238	46188	4974	95702	13630	55340
2022	explicit_mesh	103579	90652	87.5197	72151	4128	27300	4553	87516	11506	4
2022	mesh_only	4144	2233	53.8851	2930	177	1037	281	3457	405	1
2022	expanded_union	173790	156409	89.9988	121150	5415	47225	5255	99159	14035	55341
2023	text_only	131402	122369	93.1257	94020	3939	33443	692	77732	10990	41988
2023	explicit_mesh	77432	70100	90.5310	55200	3017	19215	577	67728	9117	10
2023	mesh_only	3443	2057	59.7444	2376	145	922	24	2989	428	2
2023	expanded_union	134845	124426	92.2734	96396	4084	34365	716	80721	11418	41990
2024	text_only	111702	105539	94.4826	77620	3233	30849	518	58120	19222	33842
2024	explicit_mesh	64370	60623	94.1790	45218	2371	16781	401	48569	15397	3
2024	mesh_only	3294	2197	66.6970	2504	120	670	18	2373	903	0
2024	expanded_union	114996	107736	93.6867	80124	3353	31519	536	60493	20125	33842
2025	text_only	105267	100188	95.1751	73099	2195	29973	1269	58664	11261	34073
2025	explicit_mesh	56194	56191	99.9947	39072	1437	15685	972	46159	9059	4
2025	mesh_only	2193	2193	100.0000	1561	45	587	53	1754	386	0
2025	expanded_union	107460	102381	95.2736	74660	2240	30560	1322	60418	11647	34073
2026	text_only	68806	65340	94.9626	67413	1315	78	498	33345	6132	28831
2026	explicit_mesh	30309	30306	99.9901	29417	846	46	371	25206	4726	6
2026	mesh_only	1151	1151	100.0000	1103	45	3	17	910	224	0
2026	expanded_union	69957	66491	95.0455	68516	1360	81	515	34255	6356	28831
